parameter,value,unit,description
rated_power,8.8,kW,额定功率
rated_speed,2000,r/min,额定转速
fuel_consumption,258,g/(kW·h),燃油消耗率
bore,95,mm,气缸直径
stroke,115,mm,活塞行程
crank_radius,57.5,mm,曲柄半径
rod_length,175,mm,连杆长度
lambda,0.329,-,连杆比
compression_ratio,19,-,压缩比
displacement,0.817,L,排量
mean_piston_speed,7.67,m/s,活塞平均速度
mean_effective_pressure,650,kPa,平均有效压力
piston_offset,7,mm,活塞偏移
piston_mass,1.38,kg,活塞组质量
rod_recip_mass,0.543,kg,连杆往复质量
rod_rot_mass,1.267,kg,连杆旋转质量
crank_pin_mass,0.563,kg,曲柄销质量
crank_pin_cog_r,57.5,mm,曲柄销重心半径
crank_web_mass,1.15,kg,曲柄臂质量
crank_web_cog_r,41.5,mm,曲柄臂重心半径
balance_weight_mass,2.3,kg,平衡重质量
balance_weight_cog_r,68.8,mm,平衡重重心半径
